,电影名称,上映时将,累计票房(万),场均人次,平均票价
0,长津湖,2021-09-30,5775749383,22,46
1,战狼2,2017-07-27,5688740597,37,36
2,你好，李焕英,2021-02-12,5413299787,24,45
3,哪吒之魔童降世,2019-07-26,5035020808,23,36
4,流浪地球,2019-02-05,4687712649,29,45
5,满江红,2023-01-22,4545885944,24,50
6,唐人街探案3,2021-02-12,4522346007,29,48
7,复仇者联盟4：终局之战,2019-04-24,4250383910,23,49
8,长津湖之水门桥,2022-02-01,4069224298,19,49
9,流浪地球2,2023-01-22,4030269322,21,51
10,红海行动,2018-02-16,3652535221,32,39
11,唐人街探案2,2018-02-16,3397688097,39,39
12,美人鱼,2016-02-08,3397175023,43,37
13,我和我的祖国,2019-09-30,3176393301,35,38
14,独行月球,2022-07-29,3104761595,12,42
15,八佰,2020-08-21,3102323734,20,38
16,我不是药神,2018-07-05,3099961063,27,35
17,中国机长,2019-09-30,2913710384,25,37
18,我和我的家乡,2020-10-01,2828956017,19,39
19,速度与激情8,2017-04-14,2670959285,30,37
20,这个杀手不太冷静,2022-02-01,2629194673,14,48
21,西虹市首富,2018-07-27,2547571742,28,35
22,捉妖记,2015-07-16,2441462276,41,37
23,速度与激情7,2015-04-12,2426586547,42,39
24,复仇者联盟3：无限战争,2018-05-11,2390537333,19,38
25,捉妖记2,2018-02-16,2237154621,44,38
26,疯狂的外星人,2019-02-05,2214254201,30,42
27,羞羞的铁拳,2017-09-30,2201748735,25,33
28,海王,2018-12-07,2013198359,18,36
29,变形金刚4：绝迹重生,2014-06-27,1977522538,50,42
30,前任3：再见前任,2017-12-29,1941740154,29,35
31,毒液：致命守护者,2018-11-09,1870680440,17,36
32,功夫瑜伽,2017-01-28,1752603744,33,38
33,飞驰人生,2019-02-05,1729373180,25,42
34,人生大事,2022-06-24,1713157694,10,40
35,烈火英雄,2019-08-01,1707188998,19,36
36,阿凡达：水之道,2022-12-16,1697503373,8,50
37,侏罗纪世界2,2018-06-15,1695882459,19,36
38,寻龙诀,2015-12-18,1682742951,40,36
39,西游伏妖篇,2017-01-28,1655926405,36,39
40,港囧,2015-09-25,1614103585,40,33
41,姜子牙,2020-10-01,1602983421,19,40
42,万里归途,2022-09-30,1593046746,8,42
43,少年的你,2019-10-25,1559025893,16,36
44,变形金刚5：最后的骑士,2017-06-23,1551242789,23,37
45,疯狂动物城,2016-03-04,1534528741,28,34
46,熊出没·伴我“熊芯”,2023-01-22,1495928855,19,46
47,我和我的父辈,2021-09-30,1477337708,16,43
48,魔兽,2016-06-08,1472297906,25,37
49,复仇者联盟2：奥创纪元,2015-05-12,1464392888,29,40
50,夏洛特烦恼,2015-09-30,1447823756,33,32
51,速度与激情：特别行动,2019-08-23,1434299899,15,36
52,送你一朵小红花,2020-12-31,1432514793,12,37
53,芳华,2017-12-15,1422584326,25,34
54,侏罗纪世界,2015-06-10,1420732788,33,38
55,蜘蛛侠：英雄远征,2019-06-28,1417682880,17,36
56,头号玩家,2018-03-30,1396660613,18,36
57,速度与激情9,2021-05-21,1392334161,13,39
58,奇迹·笨小孩,2022-02-01,1379926572,11,46
59,后来的我们,2018-04-28,1361525311,21,34
60,一出好戏,2018-08-10,1355047659,26,35
61,阿凡达,2010-01-04,1339858550,72,50
62,误杀,2019-12-13,1334467764,11,33
63,怒火·重案,2021-07-30,1329076474,8,39
64,中国医生,2021-07-09,1328735567,11,36
65,拆弹专家2,2020-12-24,1314778689,11,39
66,扫毒2：天地对决,2019-07-05,1312886495,17,36
67,摔跤吧！爸爸,2017-05-05,1299181431,22,30
68,无双,2018-09-30,1273770349,15,36
69,人再囧途之泰囧,2012-12-12,1271956555,45,32
70,西游降魔篇,2013-02-10,1246990794,41,40
71,美国队长3：英雄内战,2016-05-06,1246348110,25,35
72,碟中谍6：全面瓦解,2018-08-31,1245216802,15,37
73,哥斯拉大战金刚,2021-03-26,1232628705,9,37
74,寻梦环游记,2017-11-24,1229548349,17,33
75,西游记之孙悟空三打白骨精,2016-02-08,1201008291,36,37
76,悬崖之上,2021-04-30,1191440514,12,39
77,湄公河行动,2016-09-30,1188593938,24,30
78,叶问4：完结篇,2019-12-20,1183313120,11,35
79,加勒比海盗5：死无对证,2017-05-26,1179909693,22,36
80,长城,2016-12-16,1174569050,21,35
81,心花路放,2014-09-30,1169343744,36,34
82,煎饼侠,2015-07-17,1162757257,39,33
83,金刚：骷髅岛,2017-03-24,1160499217,20,35
84,大黄蜂,2019-01-04,1149841394,11,36
85,人生路不熟,2023-04-28,1139480022,9,41
86,极限特工：终极回归,2017-02-10,1127410361,23,36
87,金刚川,2020-10-23,1127311962,8,37
88,误杀2,2021-12-17,1121704430,9,39
89,澳门风云3,2016-02-08,1118212086,36,36
90,生化危机：终章,2017-02-24,1111817301,20,35
91,攀登者,2019-09-30,1105978916,21,37
92,变形金刚3,2011-07-21,1071571922,54,42
93,侏罗纪世界3,2022-06-10,1059933461,8,36
94,巨齿鲨,2018-08-10,1053723210,22,38
95,乘风破浪,2017-01-28,1048529407,27,36
96,西游记之大闹天宫,2014-01-31,1045497027,40,42
97,神偷奶爸3,2017-07-07,1037812959,20,34
98,惊奇队长,2019-03-08,1035322210,14,37
99,刺杀小说家,2021-02-12,1035206560,16,47
